Date,Time,震央地名,Lat,Long,Depth,M,最大震度
12/31/1985,2:26:48,島根県東部,35°20.3'N,133°12.7'E,12,3.6,震度１
12/30/1985,19:11:46,茨城県沖,36°24.4'N,140°41.8'E,55,3.3,震度１
12/30/1985,15:56:17,福島県会津,37°12.6'N,139°56.2'E,6,3.5,震度１
12/30/1985,15:20:15,奄美大島近海,27°58.1'N,129°39.9'E,0,4.2,震度１
12/29/1985,9:22:20,釧路沖,42°53.3'N,145°26.7'E,35,3.7,震度２
12/28/1985,11:16:19,福島県浜通り,37°41.9'N,140°53.3'E,82,4,震度１
12/27/1985,23:36:00,詳細不明,27°05.0'N,142°12.0'E,0,不明,震度１
12/26/1985,5:30:14,千葉県東方沖,35°30.0'N,141°19.6'E,55,4.2,震度１
12/25/1985,17:34:33,茨城県沖,36°37.7'N,141°11.9'E,47,4.3,震度１
12/25/1985,0:22:00,詳細不明,27°05.0'N,142°12.0'E,0,不明,震度１
12/23/1985,16:39:08,山口県北部,34°14.4'N,131°25.7'E,22,3.5,震度１
12/23/1985,15:04:22,福島県浜通り,37°03.9'N,140°54.3'E,79,3.9,震度１
12/22/1985,23:35:17,十勝地方南部,42°22.2'N,143°14.8'E,53,3.6,震度１
12/22/1985,6:39:21,根室半島南東沖,42°55.8'N,146°57.6'E,20,4.7,震度２
12/21/1985,21:24:37,宮城県沖,38°42.6'N,142°02.5'E,61,3.9,震度２
12/21/1985,20:21:29,茨城県北部,36°30.6'N,140°31.8'E,56,3.2,震度２
12/21/1985,19:10:42,宮古島近海,24°51.6'N,125°48.9'E,64,5.1,震度１
12/21/1985,11:49:57,伊豆半島東方沖,34°56.5'N,139°10.6'E,3,3.3,震度１
12/21/1985,0:20:44,伊豆半島東方沖,34°55.7'N,139°10.9'E,14,2.6,震度１
12/21/1985,0:01:36,伊豆半島東方沖,34°55.6'N,139°10.3'E,13,2.4,震度１
12/20/1985,23:42:03,京都府南部,35°09.4'N,135°21.6'E,7,3.5,震度１
12/20/1985,20:41:23,駿河湾,34°45.4'N,138°27.4'E,25,3.3,震度１
12/19/1985,20:27:00,詳細不明,24°23.0'N,123°45.0'E,0,不明,震度１
12/19/1985,1:53:52,日向灘,32°04.2'N,132°11.9'E,29,5.1,震度１
12/18/1985,12:57:46,日向灘,32°04.5'N,132°12.0'E,27,4.8,震度２
12/16/1985,22:02:15,埼玉県南部,35°54.5'N,139°48.2'E,60,3.6,震度２
12/16/1985,14:37:00,詳細不明,27°05.0'N,142°12.0'E,0,不明,震度１
12/16/1985,7:02:11,岩手県沖,39°32.4'N,142°09.4'E,73,4.2,震度２
12/16/1985,6:27:25,福島県会津,37°12.7'N,139°56.9'E,8,4.4,震度２
12/16/1985,4:35:25,伊勢湾,34°50.8'N,136°38.4'E,51,4.3,震度１
12/15/1985,19:35:07,和歌山県北部,34°15.7'N,135°10.9'E,6,2.4,震度１
12/15/1985,13:29:18,福井県嶺南,35°30.8'N,135°29.6'E,13,4.3,震度２
12/15/1985,11:45:45,和歌山県北部,34°11.8'N,135°10.9'E,3,2.7,震度２
12/14/1985,22:14:03,秋田県沖,39°49.3'N,140°00.4'E,17,2.8,震度１
12/12/1985,19:00:14,茨城県南部,36°16.7'N,140°31.3'E,51,2.9,震度１
12/10/1985,20:20:56,国後島付近,43°54.5'N,146°48.6'E,119,5.3,震度２
12/9/1985,19:20:00,詳細不明,34°14.0'N,135°10.0'E,0,不明,震度１
12/9/1985,15:42:12,京都府南部,35°04.8'N,135°42.8'E,11,3.2,震度１
12/9/1985,6:46:45,和歌山県北部,34°11.7'N,135°12.1'E,8,3.1,震度３
12/9/1985,6:39:02,浦河沖,42°00.1'N,142°27.4'E,65,3.9,震度１
12/9/1985,4:41:34,和歌山県北部,34°11.9'N,135°12.5'E,6,2.2,震度２
12/9/1985,3:46:19,和歌山県北部,34°14.0'N,135°13.2'E,5,不明,震度１
12/9/1985,0:58:12,和歌山県北部,34°11.9'N,135°11.7'E,2,2.8,震度２
12/9/1985,0:55:29,和歌山県北部,34°12.4'N,135°13.0'E,6,2.2,震度２
12/9/1985,0:42:42,和歌山県北部,34°13.0'N,135°13.5'E,7,1.3,震度１
12/8/1985,14:06:25,和歌山県北部,34°11.5'N,135°12.0'E,5,2.7,震度２
12/7/1985,19:48:38,小笠原諸島西方沖,27°53.8'N,140°33.9'E,33,4.9,震度１
12/6/1985,22:18:24,茨城県南部,35°59.0'N,140°17.1'E,43,2.2,震度１
12/6/1985,18:33:00,詳細不明,27°05.0'N,142°12.0'E,0,不明,震度１
12/6/1985,6:26:13,茨城県南部,36°04.4'N,140°03.3'E,69,3.8,震度２
12/5/1985,14:43:32,和歌山県北部,34°12.5'N,135°09.9'E,8,2.2,震度１
12/3/1985,10:47:00,詳細不明,26°35.0'N,127°58.0'E,0,不明,震度１
12/3/1985,9:12:15,小笠原諸島西方沖,27°03.5'N,140°46.6'E,436,6,震度３
12/2/1985,18:54:12,宮城県沖,38°44.5'N,142°00.7'E,57,2.9,震度１
12/2/1985,17:07:08,伊豆半島東方沖,35°01.5'N,139°08.2'E,4,2.7,震度１
12/2/1985,16:14:38,青森県西方沖,41°07.9'N,139°55.3'E,31,5.7,震度４
12/2/1985,10:03:32,奄美大島近海,27°54.7'N,129°38.5'E,30,5.2,震度３
12/2/1985,3:21:22,伊豆半島東方沖,34°56.1'N,139°15.6'E,10,2.6,震度１
12/1/1985,20:19:00,詳細不明,24°47.0'N,125°17.0'E,0,不明,震度１
